county_fips,year,outcome_year,y,lag_1,lag_3_mean_obs,lag_5_mean_obs,years_since_last_obs,sample_weight
51125,2013,2014,0,1.47,1.58,1.81000002,1,1768.7074829931973
51125,2014,2015,0,0.95999998,0.9966666599999999,1.6760000160000001,1,1770.8333702256953
51125,2015,2016,0,1.24,1.2233333266666666,1.387999996,1,1774.1935483870968
51125,2016,2017,0,1.78,1.32666666,1.201999996,1,1516.8539325842696
51125,2017,2018,0,1.3200001,1.4466667,1.3540000159999999,1,1515.1514003673183
51125,2018,2019,,1.0599999,1.3866666666666667,1.271999996,1,1509.4341046635948
51127,2004,2005,0,6.1199999,4.1999999,3.4199999599999997,1,555.5555646332609
51127,2005,2006,1,2.0899999,4.296666533333333,3.51399994,1,765.5502758636496
51127,2006,2007,1,4.5700002,4.26,3.8519999599999997,1,765.8642990869016
51127,2007,2008,1,2.8699999,3.1766666666666663,4.065999939999999,1,766.550549357162
51127,2008,2009,1,3.26,3.5666666999999994,3.7819999800000006,1,766.8711656441718
51127,2009,2010,,2.8699999,2.999999933333333,3.1319999800000002,1,766.550549357162
51127,2011,2012,1,2.3599999,2.829999933333333,3.18599998,2,1059.3220787848338
51127,2012,2013,0,3.78,3.0033332666666666,3.02799994,1,1058.2010582010582
51127,2013,2014,1,2.9300001,3.0233333333333334,3.03999998,1,1058.020441705787
51127,2014,2015,0,4.6300001,3.7800000666666667,3.314,1,1058.315311915436
51127,2015,2016,0,3.1199999,3.5600000333333335,3.364,1,1057.6923415927033
51127,2016,2017,1,3.72,3.8233333333333337,3.63600002,1,1075.268817204301
51127,2017,2018,1,5.02,3.9533333,3.8840000200000007,1,1075.6972111553787
51127,2018,2019,,3.53,4.09,4.004,1,1076.487252124646
51133,2004,2005,1,3.3499999,2.6199999666666667,2.29999998,1,686.5671846736474
51133,2005,2006,1,3.3499999,3.0099999,2.61999996,1,835.8209204722664
51133,2006,2007,1,3.23,3.309999933333333,2.8879999599999997,1,835.9133126934984
51133,2007,2008,0,3.5899999,3.3899999333333333,3.16999992,1,835.654619377566
51133,2008,2009,1,2.03,2.9499999666666668,3.10999994,1,837.4384236453202
51133,2009,2010,0,2.8699999,2.829999933333333,3.01399994,1,836.2369629350859
51133,2010,2011,0,1.9400001,2.28,2.73199998,1,927.8350037198452
51133,2011,2012,0,2.72,2.5100000000000002,2.62999998,1,955.8823529411764
51133,2012,2013,0,1.5700001,2.076666733333333,2.22600002,1,955.4139518844618
51133,2013,2014,1,3.04,2.4433333666666663,2.42800002,1,953.9473684210526
51133,2014,2015,0,3.8699999,2.8266666666666667,2.6280000199999995,1,956.0723761259012
51133,2015,2016,1,2.8299999,3.2466665999999997,2.80599998,1,954.0636379527788
51133,2016,2017,1,4.48,3.7266666,3.15799998,1,602.6785714285713
51133,2017,2018,1,5.6399999,4.3166666000000005,3.97199994,1,602.8368901212214
51133,2018,2019,,5.3099999,5.143333266666667,4.425999920000001,1,602.6365461890122
51135,2014,2015,0,4.8499999,4.059999933333334,4.22599996,1,1938.1443698586468
51135,2015,2016,0,3.1500001,3.8200000000000003,4.088,1,1936.507875031496
51135,2016,2017,,2.49,3.4966666666666666,3.5639999800000006,1,1927.7108433734938
51141,2004,2005,0,3.6099999,2.239999966666667,1.7799999800000001,1,1606.6482439514748
51141,2005,2006,0,2.3299999,2.559999933333333,2.08399996,1,1416.3090736613337
51141,2006,2007,0,2.05,2.6633332666666667,2.21999996,1,1414.6341463414635
51141,2007,2008,0,2.1199999,2.1666665999999997,2.3699999399999996,1,1415.0944063723778
51141,2008,2009,0,2.6199999,2.2633332666666663,2.54599992,1,1412.2137943593052
51141,2009,2010,0,2.3299999,2.3566665666666666,2.28999992,1,1416.3090736613337
51141,2010,2011,0,0.88,1.9433332666666665,1.99999994,1,1818.181818181818
51141,2011,2012,,1.16,1.4566666333333333,1.82199994,1,1810.344827586207
51141,2013,2014,0,1.27,1.1033333333333333,1.65199996,2,1811.023622047244
